Date,Value
2003-08-31,0.14764565043895
2003-07-31,0.14457831325301
2003-06-30,0.13974151857835
2003-05-31,0.13311688311688
2003-04-30,0.12469437652812
2003-03-31,0.11356209150327
2003-02-28,0.10327868852459
2003-01-31,0.092105263157895
2002-12-31,0.080858085808581
2002-11-30,0.067768595041322
2002-10-31,0.057119205298013
2002-09-30,0.04635761589404
2002-08-31,0.037251655629139
2002-07-31,0.030629139072848
2002-06-30,0.025683512841756
2002-05-31,0.019867549668874
2002-04-30,0.016570008285004
2002-03-31,0.014925373134328
2002-02-28,0.013289036544851
2002-01-31,0.013333333333333
2001-12-31,0.014225941422594
2001-11-30,0.016806722689076
2001-10-31,0.018549747048904
2001-09-30,0.021996615905245
2001-08-31,0.026338147833475
2001-07-31,0.031596925704526
2001-06-30,0.036051502145923
